Location(x=-51.422108, y=-77.667503, z=0.055450)
Location(x=-51.414036, y=-76.148918, z=0.055450)
Location(x=-51.405190, y=-74.646492, z=0.055450)
Location(x=-51.405190, y=-74.646492, z=0.055450)
Location(x=-51.396355, y=-73.146515, z=0.055450)
Location(x=-51.387520, y=-71.646545, z=0.055450)
Location(x=-51.378685, y=-70.146568, z=0.055450)
Location(x=-51.369846, y=-68.646599, z=0.055450)
Location(x=-51.361012, y=-67.146622, z=0.055450)
Location(x=-51.352177, y=-65.646645, z=0.055450)
Location(x=-51.343342, y=-64.146675, z=0.055450)
Location(x=-51.334507, y=-62.646698, z=0.055450)
Location(x=-51.325672, y=-61.146729, z=0.055450)
Location(x=-51.316833, y=-59.646751, z=0.055450)
Location(x=-51.307999, y=-58.146778, z=0.055450)
Location(x=-51.299164, y=-56.646805, z=0.055450)
Location(x=-51.290329, y=-55.146828, z=0.055450)
Location(x=-51.281494, y=-53.646858, z=0.055450)
Location(x=-51.272659, y=-52.146881, z=0.055450)
Location(x=-51.263824, y=-50.646908, z=0.055450)
Location(x=-51.254986, y=-49.146935, z=0.055450)
Location(x=-51.246151, y=-47.646961, z=0.055450)
Location(x=-51.237316, y=-46.146988, z=0.055450)
Location(x=-51.228481, y=-44.647011, z=0.055450)
Location(x=-51.219646, y=-43.147041, z=0.055450)
Location(x=-51.210812, y=-41.647064, z=0.055450)
Location(x=-51.201977, y=-40.147091, z=0.055450)
Location(x=-51.193138, y=-38.647118, z=0.055450)
Location(x=-51.184303, y=-37.147144, z=0.055450)
Location(x=-51.175468, y=-35.647167, z=0.055450)
Location(x=-51.166634, y=-34.147194, z=0.055450)
Location(x=-51.157799, y=-32.647221, z=0.055450)
Location(x=-51.148964, y=-31.147247, z=0.055450)
Location(x=-51.140129, y=-29.647274, z=0.055450)
Location(x=-51.131290, y=-28.147297, z=0.055450)
Location(x=-51.122456, y=-26.647324, z=0.055450)
Location(x=-51.113621, y=-25.147350, z=0.055450)
Location(x=-51.099968, y=-22.829693, z=0.055450)
Location(x=-51.099968, y=-22.829693, z=0.055450)
Location(x=-51.091133, y=-21.329720, z=0.055450)
Location(x=-51.082298, y=-19.829744, z=0.055450)
Location(x=-51.073463, y=-18.329771, z=0.055450)
Location(x=-51.064625, y=-16.829796, z=0.055450)
Location(x=-51.055790, y=-15.329822, z=0.055450)
Location(x=-51.046955, y=-13.829848, z=0.055450)
Location(x=-51.033936, y=-11.619680, z=0.055450)
Location(x=-51.033936, y=-11.619680, z=0.055450)
Location(x=-50.988686, y=-9.995416, z=0.055450)
Location(x=-50.748104, y=-8.293647, z=0.055450)
Location(x=-50.296219, y=-6.635426, z=0.055450)
Location(x=-49.640152, y=-5.046884, z=0.054956)
Location(x=-48.790230, y=-3.553051, z=0.047327)
Location(x=-47.759857, y=-2.177466, z=0.032097)
Location(x=-46.565376, y=-0.941875, z=0.016102)
Location(x=-45.225868, y=0.134393, z=0.003523)
Location(x=-43.762272, y=1.034678, z=0.000000)
Location(x=-42.197571, y=1.744842, z=0.000000)
Location(x=-40.556335, y=2.253731, z=0.000000)
Location(x=-38.864338, y=2.553354, z=0.000000)
Location(x=-36.375546, y=2.637867, z=0.000000)
Location(x=-36.375546, y=2.637867, z=0.000000)
Location(x=-34.875553, y=2.634216, z=0.000000)
Location(x=-33.375553, y=2.630565, z=0.000000)
Location(x=-31.875565, y=2.626914, z=0.000000)
Location(x=-30.375568, y=2.623262, z=0.000000)
Location(x=-28.875572, y=2.619611, z=0.000000)
Location(x=-27.375576, y=2.615960, z=0.000000)
Location(x=-25.875580, y=2.612309, z=0.000000)
Location(x=-24.375584, y=2.608658, z=0.000000)
Location(x=-22.875591, y=2.605007, z=0.000000)
Location(x=-21.375595, y=2.601356, z=0.000000)
Location(x=-19.875599, y=2.597705, z=0.000000)
Location(x=-18.375603, y=2.594054, z=0.000000)
Location(x=-16.875607, y=2.590403, z=0.000000)
